i,e,y,u,
668,8.746,16.365,1145.070,
669,8.635,16.442,1145.917,
670,8.558,16.443,1146.789,
671,8.557,16.372,1147.683,
672,8.628,16.286,1148.582,
673,8.714,16.259,1149.460,
674,8.741,16.319,1150.305,
675,8.681,16.427,1151.130,
676,8.573,16.518,1151.963,
677,8.482,16.541,1152.820,
678,8.459,16.486,1153.700,
679,8.514,16.397,1154.590,
680,8.603,16.347,1155.467,
681,8.653,16.381,1156.313,
682,8.619,16.479,1157.133,
683,8.521,16.582,1157.953,
684,8.418,16.632,1158.793,
685,8.368,16.602,1159.656,
686,8.398,16.519,1160.535,
687,8.481,16.446,1161.411,
688,8.554,16.446,1162.260,
689,8.554,16.525,1163.079,
690,8.475,16.633,1163.888,
691,8.367,16.709,1164.710,
692,8.291,16.714,1165.555,
693,8.286,16.648,1166.419,
694,8.352,16.562,1167.289,
695,8.438,16.524,1168.144,
696,8.476,16.569,1168.967,
697,8.431,16.670,1169.769,
698,8.330,16.768,1170.574,
699,8.232,16.811,1171.398,
700,8.189,16.778,1172.245,
701,8.222,16.694,1173.105,
702,8.306,16.624,1173.961,
703,8.376,16.623,1174.792,
704,8.377,16.699,1175.594,
705,8.301,16.806,1176.386,
706,8.194,16.885,1177.190,
707,8.115,16.896,1178.016,
708,8.104,16.837,1178.860,
709,8.163,16.751,1179.711,
710,8.249,16.702,1180.550,
711,8.298,16.733,1181.361,
712,8.267,16.826,1182.148,
713,8.174,16.928,1182.934,
714,8.072,16.987,1183.737,
715,8.013,16.973,1184.560,
716,8.027,16.899,1185.399,
717,8.101,16.818,1186.239,
718,8.182,16.792,1187.061,
719,8.208,16.843,1187.854,
720,8.157,16.944,1188.631,
721,8.056,17.038,1189.412,
722,7.962,17.080,1190.211,
723,7.920,17.049,1191.030,
724,7.951,16.968,1191.861,
725,8.032,16.895,1192.689,
726,8.105,16.885,1193.496,
727,8.115,16.949,1194.276,
728,8.051,17.052,1195.044,
729,7.948,17.140,1195.819,
730,7.860,17.169,1196.613,
731,7.831,17.128,1197.425,
732,7.872,17.045,1198.247,
733,7.955,16.979,1199.064,
734,8.021,16.978,1199.858,
735,8.022,17.048,1200.627,
736,7.952,17.151,1201.387,
737,7.849,17.234,1202.156,
738,7.766,17.258,1202.942,
739,7.742,17.214,1203.746,
740,7.786,17.131,1204.559,
741,7.869,17.066,1205.365,
742,7.934,17.067,1206.149,
743,7.933,17.138,1206.909,
744,7.862,17.240,1207.661,
745,7.760,17.323,1208.421,
746,7.677,17.348,1209.198,
747,7.652,17.305,1209.993,
748,7.695,17.223,1210.796,
749,7.777,17.157,1211.593,
750,7.843,17.154,1212.370,
751,7.846,17.220,1213.123,
752,7.780,17.320,1213.866,
753,7.680,17.406,1214.617,
754,7.594,17.438,1215.384,
755,7.562,17.403,1216.167,
756,7.597,17.324,1216.960,
757,7.676,17.253,1217.750,
758,7.747,17.238,1218.520,
759,7.762,17.294,1219.268,
760,7.706,17.391,1220.004,
761,7.609,17.482,1220.744,
762,7.518,17.527,1221.499,
763,7.473,17.505,1222.269,
764,7.495,17.432,1223.052,
765,7.568,17.355,1223.834,
766,7.645,17.324,1224.601,
767,7.676,17.362,1225.345,
768,7.638,17.452,1226.074,
769,7.548,17.549,1226.804,
770,7.451,17.610,1227.545,
771,7.390,17.608,1228.302,
772,7.392,17.548,1229.073,
773,7.452,17.467,1229.847,
774,7.533,17.416,1230.611,
775,7.584,17.430,1231.354,
776,7.570,17.504,1232.079,
777,7.496,17.603,1232.798,
778,7.397,17.682,1233.526,
779,7.318,17.706,1234.268,
780,7.294,17.668,1235.024,
781,7.332,17.590,1235.789,
782,7.410,17.520,1236.549,
783,7.480,17.504,1237.293,
784,7.496,17.553,1238.016,
785,7.447,17.645,1238.728,
786,7.355,17.738,1239.442,
787,7.262,17.792,1240.168,
788,7.208,17.784,1240.909,
789,7.216,17.722,1241.661,
790,7.278,17.642,1242.416,
791,7.358,17.593,1243.160,
792,7.407,17.607,1243.886,
793,7.393,17.679,1244.594,
794,7.321,17.776,1245.297,
795,7.224,17.856,1246.007,
796,7.144,17.886,1246.729,
797,7.114,17.855,1247.466,
798,7.145,17.782,1248.211,
799,7.218,17.708,1248.954,
800,7.292,17.679,1249.683,
801,7.321,17.714,1250.393,
802,7.286,17.798,1251.090,
803,7.202,17.893,1251.786,
804,7.107,17.960,1252.490,
805,7.040,17.973,1253.208,
806,7.027,17.927,1253.939,
807,7.073,17.850,1254.675,
808,7.150,17.784,1255.406,
809,7.216,17.770,1256.121,
810,7.230,17.818,1256.819,
811,7.182,17.907,1257.506,
812,7.093,17.999,1258.195,
813,7.001,18.056,1258.893,
814,6.944,18.058,1259.605,
815,6.942,18.005,1260.327,
816,6.995,17.927,1261.054,
817,7.073,17.868,1261.773,
818,7.132,17.862,1262.477,
819,7.138,17.915,1263.165,
820,7.085,18.005,1263.843,
821,6.995,18.094,1264.524,
822,6.906,18.148,1265.215,
823,6.852,18.146,1265.918,
824,6.854,18.091,1266.632,
825,6.909,18.014,1267.349,
826,6.986,17.956,1268.059,
827,7.044,17.951,1268.753,
828,7.049,18.004,1269.432,
829,6.996,18.093,1270.103,
830,6.907,18.181,1270.775,
831,6.819,18.236,1271.457,
832,6.764,18.237,1272.151,
833,6.763,18.186,1272.854,
834,6.814,18.109,1273.561,
835,6.891,18.049,1274.263,
836,6.951,18.037,1274.950,
837,6.963,18.084,1275.622,
838,6.916,18.169,1276.285,
839,6.831,18.259,1276.948,
840,6.741,18.320,1277.620,
841,6.680,18.330,1278.302,
842,6.670,18.288,1278.995,
843,6.712,18.214,1279.693,
844,6.786,18.147,1280.387,
845,6.853,18.123,1281.068,
846,6.877,18.157,1281.735,
847,6.843,18.235,1282.390,
848,6.765,18.326,1283.045,
849,6.674,18.397,1283.705,
850,6.603,18.423,1284.376,
851,6.577,18.395,1285.056,
852,6.605,18.327,1285.744,
853,6.673,18.255,1286.430,
854,6.745,18.214,1287.108,
855,6.786,18.228,1287.770,
856,6.772,18.291,1288.420,
857,6.709,18.381,1289.066,
858,6.619,18.463,1289.715,
859,6.537,18.508,1290.373,
860,6.492,18.502,1291.040,
861,6.498,18.449,1291.716,
862,6.551,18.375,1292.394,
863,6.625,18.316,1293.067,
864,6.684,18.303,1293.728,
865,6.697,18.344,1294.375,
866,6.656,18.424,1295.013,
867,6.576,18.513,1295.652,
868,6.487,18.580,1296.296,
869,6.420,18.602,1296.949,
870,6.398,18.573,1297.611,
871,6.427,18.507,1298.280,
872,6.493,18.435,1298.947,
873,6.565,18.393,1299.607,
874,6.607,18.402,1300.253,
875,6.598,18.460,1300.887,
876,6.540,18.546,1301.516,
877,6.454,18.629,1302.148,
878,6.371,18.682,1302.786,
879,6.318,18.687,1303.433,
880,6.313,18.644,1304.089,
881,6.356,18.574,1304.748,
882,6.426,18.508,1305.405,
883,6.492,18.479,1306.051,
884,6.521,18.501,1306.685,
885,6.499,18.568,1307.309,
886,6.432,18.655,1307.930,
887,6.345,18.733,1308.555,
888,6.267,18.777,1309.186,
889,6.223,18.772,1309.826,
890,6.228,18.723,1310.472,
891,6.277,18.651,1311.122,
892,6.349,18.590,1311.768,
893,6.410,18.567,1312.404,
894,6.433,18.596,1313.028,
895,6.404,18.665,1313.643,
896,6.335,18.752,1314.256,
897,6.248,18.827,1314.872,
898,6.173,18.867,1315.495,
899,6.133,18.860,1316.126,
900,6.140,18.810,1316.764,
901,6.190,18.739,1317.404,
902,6.261,18.679,1318.041,
903,6.321,18.656,1318.668,
